rectangle_coordinates,buildings_num,district_num
"[[33.921095904330755, -13.480820058637105], [33.93034409566924, -13.480820058637105], [33.93034409566924, -13.489813274696294], [33.921095904330755, -13.489813274696294]]",499,dowa_5
"[[33.657734815596925, -13.277045058637105], [33.66697518440307, -13.277045058637105], [33.66697518440307, -13.286038274696294], [33.657734815596925, -13.286038274696294]]",217,dowa_6
"[[33.61681220820711, -13.238846725303706], [33.626051125126295, -13.238846725303706], [33.626051125126295, -13.247839941362894], [33.61681220820711, -13.247839941362894]]",222,dowa_7
"[[33.78844944470931, -13.726025058637106], [33.79770722195729, -13.726025058637106], [33.79770722195729, -13.735018274696294], [33.78844944470931, -13.735018274696294]]",250,dowa_8
"[[33.76803404527457, -13.404408391970406], [33.77727928805883, -13.404408391970406], [33.77727928805883, -13.413401608029595], [33.76803404527457, -13.413401608029595]]",284,dowa_9
"[[34.22472631619136, -13.715645058637106], [34.23398368380864, -13.715645058637106], [34.23398368380864, -13.724638274696295], [34.22472631619136, -13.724638274696295]]",305,dowa_10
"[[33.96298695873091, -13.512586721970406], [33.972236381269084, -13.512586721970406], [33.972236381269084, -13.521579938029594], [33.96298695873091, -13.521579938029594]]",369,dowa_11
"[[33.96228055346799, -13.669730058637105], [33.97153611319861, -13.669730058637105], [33.97153611319861, -13.678723274696294], [33.96228055346799, -13.678723274696294]]",292,dowa_12
"[[34.07651100365121, -10.208108391970406], [34.08564899634879, -10.208108391970406], [34.08564899634879, -10.217101608029594], [34.07651100365121, -10.217101608029594]]",26,karonga_1
"[[33.849993541786134, -9.910873391970405], [33.85912312488047, -9.910873391970405], [33.85912312488047, -9.919866608029594], [33.849993541786134, -9.919866608029594]]",59,karonga_2
"[[33.82124511746955, -10.036246725303705], [33.83037821586385, -10.036246725303705], [33.83037821586385, -10.045239941362894], [33.82124511746955, -10.045239941362894]]",46,karonga_3
"[[33.81555785130254, -9.960323391970405], [33.824688815364055, -9.960323391970405], [33.824688815364055, -9.969316608029594], [33.81555785130254, -9.969316608029594]]",119,karonga_4
"[[33.642695294197736, -13.075106725303705], [33.65192803913567, -13.075106725303705], [33.65192803913567, -13.084099941362894], [33.642695294197736, -13.084099941362894]]",194,kasungu_1
"[[33.49799934274315, -13.036838391970406], [33.50723065725685, -13.036838391970406], [33.50723065725685, -13.045831608029594], [33.49799934274315, -13.045831608029594]]",2597,kasungu_2
"[[33.56952832473614, -13.002025058637106], [33.57875834193047, -13.002025058637106], [33.57875834193047, -13.011018274696294], [33.56952832473614, -13.011018274696294]]",110,kasungu_3
"[[33.63393690772163, -12.898580058637105], [33.64316309227837, -12.898580058637105], [33.64316309227837, -12.907573274696293], [33.63393690772163, -12.907573274696293]]",182,kasungu_4
"[[33.39725589277977, -13.132030058637106], [33.40649077388683, -13.132030058637106], [33.40649077388683, -13.141023274696295], [33.39725589277977, -13.141023274696295]]",237,kasungu_5
"[[33.770799865692936, -12.918913391970406], [33.78002680097366, -12.918913391970406], [33.78002680097366, -12.927906608029595], [33.770799865692936, -12.927906608029595]]",302,kasungu_6
"[[33.54028888673606, -13.061251725303705], [33.54952111326394, -13.061251725303705], [33.54952111326394, -13.070244941362894], [33.54028888673606, -13.070244941362894]]",313,kasungu_7
"[[33.24121316236138, -13.450226725303706], [33.25046017097201, -13.450226725303706], [33.25046017097201, -13.459219941362894], [33.24121316236138, -13.459219941362894]]",594,kasungu_8
"[[33.3850902671868, -13.427510058637106], [33.3943363994798, -13.427510058637106], [33.3943363994798, -13.436503274696294], [33.3850902671868, -13.436503274696294]]",1187,kasungu_9
"[[33.736042252550426, -12.697463391970405], [33.745261080782974, -12.697463391970405], [33.745261080782974, -12.706456608029594], [33.736042252550426, -12.706456608029594]]",63,kasungu_10
"[[33.3096000456293, -13.176988391970406], [33.3188366210373, -13.176988391970406], [33.3188366210373, -13.185981608029595], [33.3096000456293, -13.185981608029595]]",83,kasungu_11
"[[33.59795018788621, -12.719391725303705], [33.60716981211378, -12.719391725303705], [33.60716981211378, -12.728384941362894], [33.59795018788621, -12.728384941362894]]",71,kasungu_12
"[[33.27029919694614, -13.309503391970406], [33.27954080305386, -13.309503391970406], [33.27954080305386, -13.318496608029594], [33.27029919694614, -13.318496608029594]]",81,kasungu_13
"[[33.598508710473, -13.070675058637105], [33.607741289527, -13.070675058637105], [33.607741289527, -13.079668274696294], [33.598508710473, -13.079668274696294]]",64,kasungu_14
"[[33.924328753148394, -14.093375058637106], [33.9336012468516, -14.093375058637106], [33.9336012468516, -14.102368274696294], [33.924328753148394, -14.102368274696294]]",505,lilongwe_1
"[[34.11220959544375, -14.051860058637105], [34.121480404556245, -14.051860058637105], [34.121480404556245, -14.060853274696294], [34.11220959544375, -14.060853274696294]]",225,lilongwe_2
"[[33.66051608899917, -14.060403391970405], [33.66978724433424, -14.060403391970405], [33.66978724433424, -14.069396608029594], [33.66051608899917, -14.069396608029594]]",784,lilongwe_3
"[[34.05165713927951, -14.090776725303705], [34.06092952738709, -14.090776725303705], [34.06092952738709, -14.099769941362894], [34.05165713927951, -14.099769941362894]]",262,lilongwe_4
"[[33.95741364793163, -14.180270058637106], [33.966689685401775, -14.180270058637106], [33.966689685401775, -14.189263274696295], [33.95741364793163, -14.189263274696295]]",375,lilongwe_5
"[[33.72577028347678, -13.683461725303706], [33.73502638318982, -13.683461725303706], [33.73502638318982, -13.692454941362895], [33.72577028347678, -13.692454941362895]]",591,lilongwe_6
"[[33.92862465334667, -13.966435058637106], [33.93789201331993, -13.966435058637106], [33.93789201331993, -13.975428274696295], [33.92862465334667, -13.975428274696295]]",404,lilongwe_7
"[[33.77457459063962, -14.215605058637106], [33.78385207602699, -14.215605058637106], [33.78385207602699, -14.224598274696294], [33.77457459063962, -14.224598274696294]]",406,lilongwe_8
"[[33.9996779521041, -14.050708391970407], [34.0089487145625, -14.050708391970407], [34.0089487145625, -14.059701608029595], [33.9996779521041, -14.059701608029595]]",553,lilongwe_9
"[[33.84834699800414, -14.015478391970406], [33.85761633532926, -14.015478391970406], [33.85761633532926, -14.024471608029595], [33.84834699800414, -14.024471608029595]]",960,lilongwe_10
