respondent_number,region,district,urbrur,latitude,longitude,dateintr,age,electricity_grid_in_the_psu_ea,road_surface_last_5_km,road_condition_last_5_km,overall_direction_of_the_country,country_s_present_economic_condition,country_s_economic_condition_compared_to_12_months_ago,country_s_economic_condition_in_12_months_time,how_often_gone_without_food,how_often_gone_without_water,support_for_democracy,satisfaction_with_democracy,level_of_corruption,handling_managing_the_economy,climate_change_affecting_country,gender_of_respondent,lived_poverty_index_average_index_of_5_poverty_items,country,round,rectangle_coordinates,geometry,buildings_num
MLW0027,462,Zomba City,1,-15.414835,35.3046383333333,2016-12-27,40,1,5,6,2,4,4,4,1,0,3,3,4,2,5,1,0.4,MLW,7,"[[35.29997393095769, -15.410338391970406], [35.30930273570891, -15.410338391970406], [35.30930273570891, -15.419331608029594], [35.29997393095769, -15.419331608029594]]","POLYGON ((35.29997393095769 -15.410338391970406, 35.30930273570891 -15.410338391970406, 35.30930273570891 -15.419331608029594, 35.29997393095769 -15.419331608029594, 35.29997393095769 -15.410338391970406))",1841
MLW0028,461,Lilongwe City,1,-13.9865083333333,33.7974366666667,2016-12-27,31,1,5,5,2,1,2,2,0,0,2,2,2,1,4,2,1.2,MLW,7,"[[33.79280267308006, -13.982011725303705], [33.802070660253335, -13.982011725303705], [33.802070660253335, -13.991004941362894], [33.79280267308006, -13.991004941362894]]","POLYGON ((33.79280267308006 -13.982011725303705, 33.802070660253335 -13.982011725303705, 33.802070660253335 -13.991004941362894, 33.79280267308006 -13.991004941362894, 33.79280267308006 -13.982011725303705))",2888
MLW0029,461,Lilongwe City,1,-13.9865083333333,33.7974366666667,2016-12-27,37,1,5,5,1,1,4,1,1,0,2,3,1,2,3,2,1.2,MLW,7,"[[33.79280267308006, -13.982011725303705], [33.802070660253335, -13.982011725303705], [33.802070660253335, -13.991004941362894], [33.79280267308006, -13.991004941362894]]","POLYGON ((33.79280267308006 -13.982011725303705, 33.802070660253335 -13.982011725303705, 33.802070660253335 -13.991004941362894, 33.79280267308006 -13.991004941362894, 33.79280267308006 -13.982011725303705))",2888
MLW0030,460,Nkhata Bay,460,-11.6160383333333,34.3042166666667,2016-12-27,25,1,5,6,1,2,2,3,0,0,2,3,2,2,5,2,0.2,MLW,7,"[[34.29962603761996, -11.611541725303706], [34.308807295713436, -11.611541725303706], [34.308807295713436, -11.620534941362894], [34.29962603761996, -11.620534941362894]]","POLYGON ((34.29962603761996 -11.611541725303706, 34.308807295713436 -11.611541725303706, 34.308807295713436 -11.620534941362894, 34.29962603761996 -11.620534941362894, 34.29962603761996 -11.611541725303706))",364
MLW0031,460,Nkhata Bay,460,-11.6160383333333,34.3042166666667,2016-12-27,18,1,5,6,1,1,1,4,2,0,3,3,1,1,7,2,1.8,MLW,7,"[[34.29962603761996, -11.611541725303706], [34.308807295713436, -11.611541725303706], [34.308807295713436, -11.620534941362894], [34.29962603761996, -11.620534941362894]]","POLYGON ((34.29962603761996 -11.611541725303706, 34.308807295713436 -11.611541725303706, 34.308807295713436 -11.620534941362894, 34.29962603761996 -11.620534941362894, 34.29962603761996 -11.611541725303706))",364
MLW0032,461,Lilongwe City,1,-13.9865083333333,33.7974366666667,2016-12-27,23,1,5,5,1,2,2,1,0,2,3,3,1,2,5,1,1.6,MLW,7,"[[33.79280267308006, -13.982011725303705], [33.802070660253335, -13.982011725303705], [33.802070660253335, -13.991004941362894], [33.79280267308006, -13.991004941362894]]","POLYGON ((33.79280267308006 -13.982011725303705, 33.802070660253335 -13.982011725303705, 33.802070660253335 -13.991004941362894, 33.79280267308006 -13.991004941362894, 33.79280267308006 -13.982011725303705))",2888
MLW0033,460,Nkhata Bay,460,-11.6160383333333,34.3042166666667,2016-12-27,25,1,5,6,1,5,2,2,0,0,3,3,1,2,5,2,0.2,MLW,7,"[[34.29962603761996, -11.611541725303706], [34.308807295713436, -11.611541725303706], [34.308807295713436, -11.620534941362894], [34.29962603761996, -11.620534941362894]]","POLYGON ((34.29962603761996 -11.611541725303706, 34.308807295713436 -11.611541725303706, 34.308807295713436 -11.620534941362894, 34.29962603761996 -11.620534941362894, 34.29962603761996 -11.611541725303706))",364
MLW0034,461,Ntcheu,2,-14.5120433333333,34.5092766666667,2016-12-27,34,0,1,2,1,1,2,3,1,0,3,1,2,3,5,1,1.6,MLW,7,"[[34.50463186623359, -14.507546725303706], [34.51392146709981, -14.507546725303706], [34.51392146709981, -14.516539941362895], [34.50463186623359, -14.516539941362895]]","POLYGON ((34.50463186623359 -14.507546725303706, 34.51392146709981 -14.507546725303706, 34.51392146709981 -14.516539941362895, 34.50463186623359 -14.516539941362895, 34.50463186623359 -14.507546725303706))",736
MLW0035,461,Lilongwe City,1,-13.9865083333333,33.7974366666667,2016-12-27,25,1,5,5,1,1,4,3,0,1,3,3,1,3,3,1,1.0,MLW,7,"[[33.79280267308006, -13.982011725303705], [33.802070660253335, -13.982011725303705], [33.802070660253335, -13.991004941362894], [33.79280267308006, -13.991004941362894]]","POLYGON ((33.79280267308006 -13.982011725303705, 33.802070660253335 -13.982011725303705, 33.802070660253335 -13.991004941362894, 33.79280267308006 -13.991004941362894, 33.79280267308006 -13.982011725303705))",2888
MLW0036,461,Lilongwe City,1,-13.9613633333333,33.7696483333333,2016-12-27,63,1,5,6,1,4,2,4,0,1,3,2,5,2,4,1,0.2,MLW,7,"[[33.765014845792, -13.956866725303705], [33.7742818208746, -13.956866725303705], [33.7742818208746, -13.965859941362893], [33.765014845792, -13.965859941362893]]","POLYGON ((33.765014845792 -13.956866725303705, 33.7742818208746 -13.956866725303705, 33.7742818208746 -13.965859941362893, 33.765014845792 -13.965859941362893, 33.765014845792 -13.956866725303705))",974
MLW0037,462,Thyolo,2,-16.04356,35.230525,2016-12-27,52,1,5,6,1,4,4,4,0,0,2,4,4,4,5,1,0.4,MLW,7,"[[35.225846159852104, -16.039063391970405], [35.235203840147896, -16.039063391970405], [35.235203840147896, -16.048056608029594], [35.225846159852104, -16.048056608029594]]","POLYGON ((35.225846159852104 -16.039063391970405, 35.235203840147896 -16.039063391970405, 35.235203840147896 -16.048056608029594, 35.225846159852104 -16.048056608029594, 35.225846159852104 -16.039063391970405))",419
MLW0038,462,Thyolo,2,-16.04356,35.230525,2016-12-27,30,1,5,6,1,2,2,1,2,0,1,2,1,2,5,1,1.6,MLW,7,"[[35.225846159852104, -16.039063391970405], [35.235203840147896, -16.039063391970405], [35.235203840147896, -16.048056608029594], [35.225846159852104, -16.048056608029594]]","POLYGON ((35.225846159852104 -16.039063391970405, 35.235203840147896 -16.039063391970405, 35.235203840147896 -16.048056608029594, 35.225846159852104 -16.048056608029594, 35.225846159852104 -16.039063391970405))",419
MLW0039,460,Nkhata Bay,460,-11.6160383333333,34.3042166666667,2016-12-27,30,1,5,6,1,2,3,3,0,0,2,2,1,2,7,1,0.4,MLW,7,"[[34.29962603761996, -11.611541725303706], [34.308807295713436, -11.611541725303706], [34.308807295713436, -11.620534941362894], [34.29962603761996, -11.620534941362894]]","POLYGON ((34.29962603761996 -11.611541725303706, 34.308807295713436 -11.611541725303706, 34.308807295713436 -11.620534941362894, 34.29962603761996 -11.620534941362894, 34.29962603761996 -11.611541725303706))",364
MLW0040,461,Lilongwe City,1,-13.9613633333333,33.7696483333333,2016-12-27,24,1,5,6,1,1,3,1,0,3,2,1,1,1,5,1,1.8,MLW,7,"[[33.765014845792, -13.956866725303705], [33.7742818208746, -13.956866725303705], [33.7742818208746, -13.965859941362893], [33.765014845792, -13.965859941362893]]","POLYGON ((33.765014845792 -13.956866725303705, 33.7742818208746 -13.956866725303705, 33.7742818208746 -13.965859941362893, 33.765014845792 -13.965859941362893, 33.765014845792 -13.956866725303705))",974
MLW0041,462,Thyolo,2,-16.04356,35.230525,2016-12-27,22,1,5,6,2,2,3,9,0,0,2,1,4,3,5,1,0.6,MLW,7,"[[35.225846159852104, -16.039063391970405], [35.235203840147896, -16.039063391970405], [35.235203840147896, -16.048056608029594], [35.225846159852104, -16.048056608029594]]","POLYGON ((35.225846159852104 -16.039063391970405, 35.235203840147896 -16.039063391970405, 35.235203840147896 -16.048056608029594, 35.225846159852104 -16.048056608029594, 35.225846159852104 -16.039063391970405))",419
MLW0042,462,Mangochi,2,-14.368495,35.5243766666667,2016-12-27,48,0,5,6,1,1,1,1,0,0,2,2,9,1,5,2,0.4,MLW,7,"[[35.51973486187285, -14.363998391970405], [35.529018471460546, -14.363998391970405], [35.529018471460546, -14.372991608029594], [35.51973486187285, -14.372991608029594]]","POLYGON ((35.51973486187285 -14.363998391970405, 35.529018471460546 -14.363998391970405, 35.529018471460546 -14.372991608029594, 35.51973486187285 -14.372991608029594, 35.51973486187285 -14.363998391970405))",624
MLW0043,461,Ntcheu,2,-14.5120433333333,34.5092766666667,2016-12-27,39,0,1,2,1,1,1,1,0,0,2,3,1,3,5,1,0.0,MLW,7,"[[34.50463186623359, -14.507546725303706], [34.51392146709981, -14.507546725303706], [34.51392146709981, -14.516539941362895], [34.50463186623359, -14.516539941362895]]","POLYGON ((34.50463186623359 -14.507546725303706, 34.51392146709981 -14.507546725303706, 34.51392146709981 -14.516539941362895, 34.50463186623359 -14.516539941362895, 34.50463186623359 -14.507546725303706))",736
MLW0044,462,Zomba,2,-15.37348,35.58535,2016-12-27,56,1,2,5,1,1,1,1,2,1,3,4,5,1,5,1,1.0,MLW,7,"[[35.58068652450023, -15.368983391970406], [35.59001347549977, -15.368983391970406], [35.59001347549977, -15.377976608029595], [35.58068652450023, -15.377976608029595]]","POLYGON ((35.58068652450023 -15.368983391970406, 35.59001347549977 -15.368983391970406, 35.59001347549977 -15.377976608029595, 35.58068652450023 -15.377976608029595, 35.58068652450023 -15.368983391970406))",531
MLW0045,462,Zomba,2,-15.37348,35.58535,2016-12-27,25,1,2,5,1,2,2,4,1,0,3,3,4,3,5,2,0.2,MLW,7,"[[35.58068652450023, -15.368983391970406], [35.59001347549977, -15.368983391970406], [35.59001347549977, -15.377976608029595], [35.58068652450023, -15.377976608029595]]","POLYGON ((35.58068652450023 -15.368983391970406, 35.59001347549977 -15.368983391970406, 35.59001347549977 -15.377976608029595, 35.58068652450023 -15.377976608029595, 35.58068652450023 -15.368983391970406))",531
MLW0046,461,Ntcheu,2,-14.5120433333333,34.5092766666667,2016-12-27,24,0,1,2,1,1,1,3,1,0,3,1,1,2,5,1,0.8,MLW,7,"[[34.50463186623359, -14.507546725303706], [34.51392146709981, -14.507546725303706], [34.51392146709981, -14.516539941362895], [34.50463186623359, -14.516539941362895]]","POLYGON ((34.50463186623359 -14.507546725303706, 34.51392146709981 -14.507546725303706, 34.51392146709981 -14.516539941362895, 34.50463186623359 -14.516539941362895, 34.50463186623359 -14.507546725303706))",736
MLW0047,461,Ntcheu,2,-14.5120433333333,34.5092766666667,2016-12-27,30,0,1,2,1,2,1,1,3,0,3,3,1,4,5,2,1.2,MLW,7,"[[34.50463186623359, -14.507546725303706], [34.51392146709981, -14.507546725303706], [34.51392146709981, -14.516539941362895], [34.50463186623359, -14.516539941362895]]","POLYGON ((34.50463186623359 -14.507546725303706, 34.51392146709981 -14.507546725303706, 34.51392146709981 -14.516539941362895, 34.50463186623359 -14.516539941362895, 34.50463186623359 -14.507546725303706))",736
